Artist Name,Genre,Popularity,Followers,ID,URI,Followers to Popularity (%),Number of Genres,Genres,Years Active
Jimmy Eat World,pop-punk,70,1630724,3Ayl7mCk0nScecqOzvNp6s,spotify:artist:3Ayl7mCk0nScecqOzvNp6s,2329605.71,11,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock",Unknown
The All-American Rejects,pop-punk,68,2717559,3vAaWhdBR38Q02ohXqaNHT,spotify:artist:3vAaWhdBR38Q02ohXqaNHT,3996410.29,7,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge",Unknown
Sleeping With Sirens,pop-punk,67,2402865,3N8Hy6xQnQv1F1XCiyGQqA,spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,3586365.67,4,"neon pop punk, pop emo, pop punk, screamo",Unknown
Yeah Yeah Yeahs,pop-punk,70,1372005,3TNt4aUIxgfy9aoaft5Jj2,spotify:artist:3TNt4aUIxgfy9aoaft5Jj2,1960007.14,9,"alternative dance, alternative rock, art pop, dance-punk, garage rock, indie rock, modern rock, neo-synthpop, new rave",Unknown
Good Charlotte,pop-punk,68,2647809,5aYyPjAsLj7UzANzdupwnS,spotify:artist:5aYyPjAsLj7UzANzdupwnS,3893836.76,6,"alternative metal, modern rock, neon pop punk, pop punk, pop rock, post-grunge",Unknown
Simple Plan,pop-punk,70,3700901,2p4FqHnazRucYQHyDCdBrJ,spotify:artist:2p4FqHnazRucYQHyDCdBrJ,5287001.43,7,"canadian pop punk, canadian punk, canadian rock, modern rock, neon pop punk, pop punk, pop rock",Unknown
Taking Back Sunday,pop-punk,63,880963,24XtlMhEMNdi822vi0MhY1,spotify:artist:24XtlMhEMNdi822vi0MhY1,1398353.97,5,"emo, neon pop punk, pop punk, post-hardcore, screamo",Unknown
Asking Alexandria,pop-punk,66,2264419,1caBfBEapzw8z2Qz9q0OaQ,spotify:artist:1caBfBEapzw8z2Qz9q0OaQ,3430937.88,6,"alternative metal, metalcore, pop punk, post-grunge, trancecore, uk metalcore",Unknown
3OH!3,pop-punk,64,1011875,0FWzNDaEu9jdgcYTbcOa4F,spotify:artist:0FWzNDaEu9jdgcYTbcOa4F,1581054.69,5,"dance pop, electropowerpop, pop punk, pop rap, post-teen pop",Unknown
Hot Mulligan,pop-punk,62,259584,1lKZzN2d4IqiEYxyECIEHI,spotify:artist:1lKZzN2d4IqiEYxyECIEHI,418683.87,3,"alternative emo, emo, pop punk",Unknown
Yellowcard,pop-punk,65,1540130,3zxKH0qp3nBCuPZCZT5Vaf,spotify:artist:3zxKH0qp3nBCuPZCZT5Vaf,2369430.77,4,"alternative metal, pop punk, post-grunge, socal pop punk",Unknown
The Used,pop-punk,63,1224579,55VydwMyCuGcavwPuhutPL,spotify:artist:55VydwMyCuGcavwPuhutPL,1943776.19,6,"alternative metal, neon pop punk, pop emo, post-grunge, post-hardcore, screamo",Unknown
The Red Jumpsuit Apparatus,pop-punk,65,1421522,1SImpQO0GbjRgvlwCcCtFo,spotify:artist:1SImpQO0GbjRgvlwCcCtFo,2186956.92,5,"alternative metal, neon pop punk, pop punk, post-grunge, screamo",Unknown
Escape the Fate,pop-punk,64,1364779,5ojhEavq6altxW8fWIlLum,spotify:artist:5ojhEavq6altxW8fWIlLum,2132467.19,7,"alternative metal, metalcore, neon pop punk, pixie, pop punk, post-grunge, screamo",Unknown
Beartooth,pop-punk,63,811492,6vwjIs0tbIiseJMR3pqwiL,spotify:artist:6vwjIs0tbIiseJMR3pqwiL,1288082.54,3,"melodic metalcore, metalcore, pop punk",Unknown
Lit,pop-punk,61,367204,5mgr0FFpvy267wKVAYg8qp,spotify:artist:5mgr0FFpvy267wKVAYg8qp,601973.77,6,"alternative metal, nu metal, pop punk, pop rock, rap rock, socal pop punk",Unknown
Plain White T's,pop-punk,64,1280090,1g1yxsNVPhMUl9GrMjEb2o,spotify:artist:1g1yxsNVPhMUl9GrMjEb2o,2000140.62,5,"modern rock, neo mellow, neon pop punk, pop punk, pop rock",Unknown
Bowling For Soup,pop-punk,62,1177101,5ND0mGcL9SKSjWIjPd0xIb,spotify:artist:5ND0mGcL9SKSjWIjPd0xIb,1898550.0,4,"neon pop punk, pop punk, pop rock, texas pop punk",Unknown
AFI,pop-punk,62,939578,19I4tYiChJoxEO5EuviXpz,spotify:artist:19I4tYiChJoxEO5EuviXpz,1515448.39,6,"alternative metal, nu metal, pop punk, post-grunge, punk, screamo",Unknown
The Story So Far,pop-punk,62,481988,6meTcQ79DrfkIuSLPZkpBg,spotify:artist:6meTcQ79DrfkIuSLPZkpBg,777400.0,3,"alternative emo, emo, pop punk",Unknown
Memphis May Fire,pop-punk,63,875020,7cNNNhdJDrt3vgQjwSavNf,spotify:artist:7cNNNhdJDrt3vgQjwSavNf,1388920.63,3,"melodic metalcore, metalcore, pop punk",Unknown
Black Veil Brides,pop-punk,63,2026496,6O7MpKrY91vlCd4Osi6XKs,spotify:artist:6O7MpKrY91vlCd4Osi6XKs,3216660.32,2,"alternative metal, pop punk",Unknown
Of Mice & Men,pop-punk,61,1318883,4tususHNaR68xdgLstlGBA,spotify:artist:4tususHNaR68xdgLstlGBA,2162103.28,5,"alternative metal, melodic metalcore, metalcore, pop punk, post-grunge",Unknown
We Came As Romans,pop-punk,63,874880,6qO6LhD6FuXK5e2PtfAIMz,spotify:artist:6qO6LhD6FuXK5e2PtfAIMz,1388698.41,5,"christian rock, melodic metalcore, metalcore, pop punk, trancecore",Unknown
Underoath,pop-punk,61,652480,3GzWhE2xadJiW8MqRKIVSK,spotify:artist:3GzWhE2xadJiW8MqRKIVSK,1069639.34,8,"christian metal, christian metalcore, melodic metalcore, metalcore, pop punk, post-hardcore, screamo, tampa indie",Unknown
Brand New,pop-punk,59,727176,168dgYui7ExaU612eooDF1,spotify:artist:168dgYui7ExaU612eooDF1,1232501.69,4,"emo, pop punk, post-hardcore, screamo",Unknown
Mayday Parade,pop-punk,60,1369531,3WfJ1OtrWI7RViX9DMyEGy,spotify:artist:3WfJ1OtrWI7RViX9DMyEGy,2282551.67,3,"neon pop punk, pop emo, pop punk",Unknown
Movements,pop-punk,60,289732,1kkyfIopIiVvaPHHlbsfac,spotify:artist:1kkyfIopIiVvaPHHlbsfac,482886.67,6,"alternative emo, dreamo, emo, midwest emo, pop punk, socal pop punk",Unknown
PVRIS,pop-punk,63,692727,6oFs3qk4VepIVFdoD4jmsy,spotify:artist:6oFs3qk4VepIVFdoD4jmsy,1099566.67,3,"pixie, pop emo, pop punk",Unknown
The Home Team,pop-punk,59,132577,0hp58JplihFjlLstUbKS0x,spotify:artist:0hp58JplihFjlLstUbKS0x,224706.78,1,pop punk,Unknown
Neck Deep,pop-punk,66,1620744,2TM0qnbJH4QPhGMCdPt7fH,spotify:artist:2TM0qnbJH4QPhGMCdPt7fH,2455672.73,2,"pop punk, uk pop punk",Unknown
Waterparks,pop-punk,60,532389,3QaxveoTiMetZCMp1sftiu,spotify:artist:3QaxveoTiMetZCMp1sftiu,887315.0,5,"neon pop punk, pixie, pop punk, pov: indie, texas pop punk",Unknown
LCD Soundsystem,pop-punk,62,1153146,066X20Nz7iquqkkCW6Jxy6,spotify:artist:066X20Nz7iquqkkCW6Jxy6,1859912.9,11,"alternative dance, alternative rock, art pop, dance rock, dance-punk, electronic rock, electronica, indie rock, indietronica, neo-synthpop, new rave",Unknown
We The Kings,pop-punk,61,1285194,3ao3jf5d70Tf4fPh2bnXVl,spotify:artist:3ao3jf5d70Tf4fPh2bnXVl,2106875.41,3,"neon pop punk, piano rock, pop punk",Unknown
State Champs,pop-punk,59,355658,1qqdO7xMptucPDMopsOdkr,spotify:artist:1qqdO7xMptucPDMopsOdkr,602810.17,3,"anthem emo, pixie, pop punk",Unknown
BOYS LIKE GIRLS,pop-punk,61,1229933,0vWCyXMrrvMlCcepuOJaGI,spotify:artist:0vWCyXMrrvMlCcepuOJaGI,2016283.61,2,"neon pop punk, pop punk",Unknown
Cobra Starship,pop-punk,60,505771,2aYJ5LAta2ScCdfLhKgZOY,spotify:artist:2aYJ5LAta2ScCdfLhKgZOY,842951.67,3,"neon pop punk, pop punk, post-teen pop",Unknown
Silverstein,pop-punk,60,740779,1Tsag5J854qxeOo2apszug,spotify:artist:1Tsag5J854qxeOo2apszug,1234631.67,8,"canadian post-hardcore, canadian rock, metalcore, neon pop punk, pop emo, pop punk, post-hardcore, screamo",Unknown
Senses Fail,pop-punk,57,461624,591yCCsZCLXvaJ0Rg38vLZ,spotify:artist:591yCCsZCLXvaJ0Rg38vLZ,809866.67,6,"emo, metalcore, neon pop punk, pop punk, post-hardcore, screamo",Unknown
Against The Current,pop-punk,65,517676,6yhD1KjhLxIETFF7vIRf8B,spotify:artist:6yhD1KjhLxIETFF7vIRf8B,796424.62,3,"neon pop punk, pixie, pop punk",Unknown
Last Child,pop-punk,75,9760717,1v1khTmozNfxB2ET1Ep288,spotify:artist:1v1khTmozNfxB2ET1Ep288,13014289.33,2,"indonesian pop punk, indonesian rock",Unknown
Gene Moore,emo,35,11561,5Jx60tG2VWnk1g3aDHDGs6,spotify:artist:5Jx60tG2VWnk1g3aDHDGs6,33031.43,1,gospel r&b,Unknown
Gene Moss & Fred Rice,emo,16,411,30bcf53zSXMSx58gNCkcir,spotify:artist:30bcf53zSXMSx58gNCkcir,2568.75,0,,Unknown
All Genre Music Records,emo,2,4,3KXuPV9rPvGU6vtJjl6Eeq,spotify:artist:3KXuPV9rPvGU6vtJjl6Eeq,200.0,0,,Unknown
XXXTENTACION,emo,89,47625060,15UsOTVnJzReFVN1VCnxy4,spotify:artist:15UsOTVnJzReFVN1VCnxy4,53511303.37,3,"emo rap, miami hip hop, rap",Unknown
Lil Peep,emo,86,13449280,2kCcBybjl3SAtIcwdWpUe3,spotify:artist:2kCcBybjl3SAtIcwdWpUe3,15638697.67,3,"cloud rap, emo rap, lgbtq+ hip hop",Unknown
Fall Out Boy,emo,80,10968185,4UXqAaa6dQYAk18Lv7PEgX,spotify:artist:4UXqAaa6dQYAk18Lv7PEgX,13710231.25,4,"emo, modern rock, pop, rock",Unknown
My Chemical Romance,emo,81,9107725,7FBcuc1gsnv6Y1nwFtNRCb,spotify:artist:7FBcuc1gsnv6Y1nwFtNRCb,11244104.94,5,"emo, modern rock, pop punk, pov: indie, rock",Unknown
Paramore,emo,80,8915864,74XFHRwlV6OrjEM0A2NCMF,spotify:artist:74XFHRwlV6OrjEM0A2NCMF,11144830.0,7,"candy pop, modern rock, pixie, pop, pop emo, pop punk, rock",Unknown
salvia palth,emo,72,1249665,0pg0Zm8FsGAYy5kdHuBnSo,spotify:artist:0pg0Zm8FsGAYy5kdHuBnSo,1735645.83,6,"countrygaze, lo-fi emo, lo-fi indie, pov: indie, slowcore, small room",Unknown
Jimmy Eat World,emo,70,1630724,3Ayl7mCk0nScecqOzvNp6s,spotify:artist:3Ayl7mCk0nScecqOzvNp6s,2329605.71,11,"alternative metal, alternative rock, emo, modern power pop, modern rock, neon pop punk, pop punk, pop rock, post-grunge, punk, rock",Unknown
Autumn!,emo,66,572032,5delTPpDAtBDsjk60f5xnt,spotify:artist:5delTPpDAtBDsjk60f5xnt,866715.15,4,"emoplugg, glitchcore, plugg, pluggnb",Unknown
6ix9ine,emo,72,6869828,7gZfnEnfiaHzxARJ2LeXrf,spotify:artist:7gZfnEnfiaHzxARJ2LeXrf,9541427.78,1,emo rap,Unknown
Sleeping With Sirens,emo,67,2402865,3N8Hy6xQnQv1F1XCiyGQqA,spotify:artist:3N8Hy6xQnQv1F1XCiyGQqA,3586365.67,4,"neon pop punk, pop emo, pop punk, screamo",Unknown
Title Fight,emo,65,482833,2CnhqfjUG0qzsru0SMuhrk,spotify:artist:2CnhqfjUG0qzsru0SMuhrk,742820.0,5,"dreamo, emo, grungegaze, spacegrunge, zoomergaze",Unknown
Modern Baseball,emo,64,520865,1HxXNvsraqrsgfmju1yKk8,spotify:artist:1HxXNvsraqrsgfmju1yKk8,813851.56,4,"alternative emo, emo, philly indie, pov: indie",Unknown
The Front Bottoms,emo,64,799906,5ictveRyhWRs8Gt8Dvt1hS,spotify:artist:5ictveRyhWRs8Gt8Dvt1hS,1249853.12,4,"asbury park indie, emo, new jersey indie, pov: indie",Unknown
Taking Back Sunday,emo,63,880963,24XtlMhEMNdi822vi0MhY1,spotify:artist:24XtlMhEMNdi822vi0MhY1,1398353.97,5,"emo, neon pop punk, pop punk, post-hardcore, screamo",Unknown
Hot Mulligan,emo,62,259584,1lKZzN2d4IqiEYxyECIEHI,spotify:artist:1lKZzN2d4IqiEYxyECIEHI,418683.87,3,"alternative emo, emo, pop punk",Unknown
Mom Jeans.,emo,62,368809,6PsktPFR0UZptKdSqmlS5h,spotify:artist:6PsktPFR0UZptKdSqmlS5h,594853.23,5,"alternative emo, diy emo, emo, indie punk, north carolina emo",Unknown
The Used,emo,63,1224579,55VydwMyCuGcavwPuhutPL,spotify:artist:55VydwMyCuGcavwPuhutPL,1943776.19,6,"alternative metal, neon pop punk, pop emo, post-grunge, post-hardcore, screamo",Unknown
McCafferty,emo,62,429938,7s3OoIocX1gTOnEvCg2VV8,spotify:artist:7s3OoIocX1gTOnEvCg2VV8,693448.39,2,"alternative emo, pov: indie",Unknown
Panchiko,emo,62,368485,4KEHIUSoWCcqrk8AddTE1O,spotify:artist:4KEHIUSoWCcqrk8AddTE1O,594330.65,3,"diy emo, dream pop, zoomergaze",Unknown
The Story So Far,emo,62,481988,6meTcQ79DrfkIuSLPZkpBg,spotify:artist:6meTcQ79DrfkIuSLPZkpBg,777400.0,3,"alternative emo, emo, pop punk",Unknown
Basement,emo,62,388454,4DUQBYAyOTZotSEdKhaf6c,spotify:artist:4DUQBYAyOTZotSEdKhaf6c,626538.71,3,"alternative emo, dreamo, emo",Unknown
Brand New,emo,59,727176,168dgYui7ExaU612eooDF1,spotify:artist:168dgYui7ExaU612eooDF1,1232501.69,4,"emo, pop punk, post-hardcore, screamo",Unknown
Mayday Parade,emo,60,1369531,3WfJ1OtrWI7RViX9DMyEGy,spotify:artist:3WfJ1OtrWI7RViX9DMyEGy,2282551.67,3,"neon pop punk, pop emo, pop punk",Unknown
Movements,emo,60,289732,1kkyfIopIiVvaPHHlbsfac,spotify:artist:1kkyfIopIiVvaPHHlbsfac,482886.67,6,"alternative emo, dreamo, emo, midwest emo, pop punk, socal pop punk",Unknown
PVRIS,emo,63,692727,6oFs3qk4VepIVFdoD4jmsy,spotify:artist:6oFs3qk4VepIVFdoD4jmsy,1099566.67,3,"pixie, pop emo, pop punk",Unknown
Lil Pump,emo,65,7630936,3wyVrVrFCkukjdVIdirGVY,spotify:artist:3wyVrVrFCkukjdVIdirGVY,11739901.54,5,"emo rap, miami hip hop, pop rap, rap, trap",Unknown
Tony Boy,emo,76,318012,6PsQc21YZU7WNfiODG69Qk,spotify:artist:6PsQc21YZU7WNfiODG69Qk,418436.84,2,"emo rap italiano, italian hip hop",Unknown
dandelion hands,emo,61,269385,6mOWFF6HJ6krnIpW0CHLQm,spotify:artist:6mOWFF6HJ6krnIpW0CHLQm,441614.75,4,"corecore, lo-fi emo, lo-fi indie, pov: indie",Unknown
State Champs,emo,59,355658,1qqdO7xMptucPDMopsOdkr,spotify:artist:1qqdO7xMptucPDMopsOdkr,602810.17,3,"anthem emo, pixie, pop punk",Unknown
Silverstein,emo,60,740779,1Tsag5J854qxeOo2apszug,spotify:artist:1Tsag5J854qxeOo2apszug,1234631.67,8,"canadian post-hardcore, canadian rock, metalcore, neon pop punk, pop emo, pop punk, post-hardcore, screamo",Unknown
Senses Fail,emo,57,461624,591yCCsZCLXvaJ0Rg38vLZ,spotify:artist:591yCCsZCLXvaJ0Rg38vLZ,809866.67,6,"emo, metalcore, neon pop punk, pop punk, post-hardcore, screamo",Unknown
Lund,emo,59,570274,5uLkZ7FWMTBUg1corQqdkR,spotify:artist:5uLkZ7FWMTBUg1corQqdkR,966566.1,1,emo rap,Unknown
For Revenge,emo,74,1222052,0f6TyESD8E1mD2oLJ4TGv1,spotify:artist:0f6TyESD8E1mD2oLJ4TGv1,1651421.62,3,"bandung indie, indonesian emo, indonesian post-hardcore",Unknown
Alkaline Trio,emo,58,404051,1aEYCT7t18aM3VvM6y8oVR,spotify:artist:1aEYCT7t18aM3VvM6y8oVR,696639.66,5,"chicago punk, emo, pop punk, punk, skate punk",Unknown
Dashboard Confessional,emo,58,631698,4ERtgeBbWRkFzIz6LaFCeY,spotify:artist:4ERtgeBbWRkFzIz6LaFCeY,1089134.48,4,"emo, neon pop punk, pop punk, pop rock",Unknown
TX2,emo,57,263302,1QQ0zBYrjIUnXvHf5iiV5H,spotify:artist:1QQ0zBYrjIUnXvHf5iiV5H,461933.33,1,pop emo,Unknown
"nothing,nowhere.",emo,58,435624,7FngGIEGgN3Iwauw1MvO4P,spotify:artist:7FngGIEGgN3Iwauw1MvO4P,751075.86,2,"cloud rap, emo rap",Unknown
Joyce Manor,emo,56,238933,7qbvNcfTfckhCNM8NiR8nN,spotify:artist:7qbvNcfTfckhCNM8NiR8nN,426666.07,5,"alternative emo, dreamo, emo, indie punk, lo-fi emo",Unknown
The Maine,emo,57,571839,4o0pNHbyj36LPvukNqEug0,spotify:artist:4o0pNHbyj36LPvukNqEug0,1003226.32,4,"neon pop punk, pop emo, pop punk, tempe indie",Unknown
La Dispute,emo,56,404572,7lQKE6HaKQcCsgLRMhsh5W,spotify:artist:7lQKE6HaKQcCsgLRMhsh5W,722450.0,3,"alternative emo, emo, grand rapids indie",Unknown
PXNDX,emo,68,1545180,5NNlkZBrBpOJ7C11JwVxIj,spotify:artist:5NNlkZBrBpOJ7C11JwVxIj,2272323.53,7,"emo mexicano, latin alternative, latin rock, mexican pop punk, mexican rock, punk rock mexicano, rock en espanol",Unknown
Origami Angel,emo,54,122468,0cmSXx965Hnm6fP42oW6vY,spotify:artist:0cmSXx965Hnm6fP42oW6vY,226792.59,4,"5th wave emo, alternative emo, diy emo, indie punk",Unknown
American Football,emo,56,393774,5FwydyGVcsQllnM4xM6jw4,spotify:artist:5FwydyGVcsQllnM4xM6jw4,703167.86,5,"alternative emo, dreamo, emo, math rock, midwest emo",Unknown
Turnover,emo,56,344217,0gLjJuczGWhqKVMmVpIT52,spotify:artist:0gLjJuczGWhqKVMmVpIT52,614673.21,4,"alternative emo, chill dream pop, dreamo, emo",Unknown
Brennan Savage,emo,59,410306,6SSmy635N3a4oWmPk85xpK,spotify:artist:6SSmy635N3a4oWmPk85xpK,695433.9,3,"cloud rap, dark trap, emo rap",Unknown
Free Throw,emo,54,110840,49b68DLRK5eCbtJf7Xx4Cc,spotify:artist:49b68DLRK5eCbtJf7Xx4Cc,205259.26,4,"alternative emo, anthem emo, emo, midwest emo",Unknown
Anberlin,emo,54,318830,5v61OSg53KaQxGMpErkBNp,spotify:artist:5v61OSg53KaQxGMpErkBNp,590425.93,1,pop emo,Unknown
Bring Me The Horizon,metalcore,80,6015280,1Ffb6ejR6Fe5IamqA5oRUF,spotify:artist:1Ffb6ejR6Fe5IamqA5oRUF,7519100.0,5,"melodic metalcore, metalcore, modern rock, rock, uk metalcore",Unknown
Bad Omens,metalcore,74,1506595,3Ri4H12KFyu98LMjSoij5V,spotify:artist:3Ri4H12KFyu98LMjSoij5V,2035939.19,1,american metalcore,Unknown
A Day To Remember,metalcore,71,2398547,4NiJW4q9ichVqL1aUsgGAN,spotify:artist:4NiJW4q9ichVqL1aUsgGAN,3378235.21,5,"alternative metal, metalcore, neon pop punk, pop punk, screamo",Unknown
I Prevail,metalcore,70,1594286,3Uobr6LgQpBbk6k4QGAb3V,spotify:artist:3Uobr6LgQpBbk6k4QGAb3V,2277551.43,3,"alternative metal, nu-metalcore, post-grunge",Unknown
Motionless In White,metalcore,70,1753343,6MwPCCR936cYfM1dLsGVnl,spotify:artist:6MwPCCR936cYfM1dLsGVnl,2504775.71,2,"alternative metal, metalcore",Unknown
Ice Nine Kills,metalcore,69,1010646,52qKfVcIV4GS8A8Vay2xtt,spotify:artist:52qKfVcIV4GS8A8Vay2xtt,1464704.35,1,metalcore,Unknown
Spiritbox,metalcore,67,752452,4MzJMcHQBl9SIYSjwWn8QW,spotify:artist:4MzJMcHQBl9SIYSjwWn8QW,1123062.69,1,canadian metalcore,Unknown
Bullet For My Valentine,metalcore,68,3164295,7iWiAD5LLKyiox2grgfmUT,spotify:artist:7iWiAD5LLKyiox2grgfmUT,4653375.0,5,"alternative metal, nu metal, post-grunge, uk metalcore, welsh metal",Unknown
The Plot In You,metalcore,66,461268,1cJ5tVoeAEFcZBAwSZ0CtF,spotify:artist:1cJ5tVoeAEFcZBAwSZ0CtF,698890.91,1,metalcore,Unknown
Asking Alexandria,metalcore,66,2264419,1caBfBEapzw8z2Qz9q0OaQ,spotify:artist:1caBfBEapzw8z2Qz9q0OaQ,3430937.88,6,"alternative metal, metalcore, pop punk, post-grunge, trancecore, uk metalcore",Unknown
Killswitch Engage,metalcore,65,1977910,37394IP6uhnjIpsawpMu4l,spotify:artist:37394IP6uhnjIpsawpMu4l,3042938.46,6,"alternative metal, boston metal, melodic metalcore, metalcore, nu metal, post-grunge",Unknown
Catch Your Breath,metalcore,65,169782,2fqPOGxG12nEERj8YG7p22,spotify:artist:2fqPOGxG12nEERj8YG7p22,261203.08,1,american metalcore,Unknown
Dayseeker,metalcore,63,351224,5FjQVp1Lb0kltmwIuu5kfj,spotify:artist:5FjQVp1Lb0kltmwIuu5kfj,557498.41,1,metalcore,Unknown
Escape the Fate,metalcore,64,1364779,5ojhEavq6altxW8fWIlLum,spotify:artist:5ojhEavq6altxW8fWIlLum,2132467.19,7,"alternative metal, metalcore, neon pop punk, pixie, pop punk, post-grunge, screamo",Unknown
Beartooth,metalcore,63,811492,6vwjIs0tbIiseJMR3pqwiL,spotify:artist:6vwjIs0tbIiseJMR3pqwiL,1288082.54,3,"melodic metalcore, metalcore, pop punk",Unknown
Wage War,metalcore,62,535424,6bu7CtcOMWcS0BMq7snHW6,spotify:artist:6bu7CtcOMWcS0BMq7snHW6,863587.1,2,"melodic metalcore, metalcore",Unknown
Memphis May Fire,metalcore,63,875020,7cNNNhdJDrt3vgQjwSavNf,spotify:artist:7cNNNhdJDrt3vgQjwSavNf,1388920.63,3,"melodic metalcore, metalcore, pop punk",Unknown
Of Mice & Men,metalcore,61,1318883,4tususHNaR68xdgLstlGBA,spotify:artist:4tususHNaR68xdgLstlGBA,2162103.28,5,"alternative metal, melodic metalcore, metalcore, pop punk, post-grunge",Unknown
Our Last Night,metalcore,63,1145684,00YTqRClk82aMchQQpYMd5,spotify:artist:00YTqRClk82aMchQQpYMd5,1818546.03,1,american metalcore,Unknown
Loathe,metalcore,61,381449,4G9wSdX0klmoHfjm9i6DLd,spotify:artist:4G9wSdX0klmoHfjm9i6DLd,625326.23,4,"nu-metalcore, progressive metalcore, uk metalcore, zoomergaze",Unknown
Electric Callboy,metalcore,68,900390,1WNoKxsp715jez1Td4vthc,spotify:artist:1WNoKxsp715jez1Td4vthc,1324102.94,3,"comic metal, german metalcore, trancecore",Unknown
We Came As Romans,metalcore,63,874880,6qO6LhD6FuXK5e2PtfAIMz,spotify:artist:6qO6LhD6FuXK5e2PtfAIMz,1388698.41,5,"christian rock, melodic metalcore, metalcore, pop punk, trancecore",Unknown
Underoath,metalcore,61,652480,3GzWhE2xadJiW8MqRKIVSK,spotify:artist:3GzWhE2xadJiW8MqRKIVSK,1069639.34,8,"christian metal, christian metalcore, melodic metalcore, metalcore, pop punk, post-hardcore, screamo, tampa indie",Unknown
All That Remains,metalcore,60,1381660,2zgG1GPDvjaBgxeQaVXI14,spotify:artist:2zgG1GPDvjaBgxeQaVXI14,2302766.67,5,"alternative metal, melodic metalcore, metalcore, nu metal, post-grunge",Unknown
Architects,metalcore,65,1041418,3ZztVuWxHzNpl0THurTFCv,spotify:artist:3ZztVuWxHzNpl0THurTFCv,1602181.54,5,"mathcore, melodic metalcore, metalcore, progressive metalcore, uk metalcore",Unknown
Currents,metalcore,61,265890,5pqvAI85RMxL9K0xHvSwGu,spotify:artist:5pqvAI85RMxL9K0xHvSwGu,435885.25,3,"melodic metalcore, metalcore, progressive deathcore",Unknown
As I Lay Dying,metalcore,62,1050024,2vd2HnNh4pdYa9gDVHFjEu,spotify:artist:2vd2HnNh4pdYa9gDVHFjEu,1693587.1,5,"alternative metal, christian metal, melodic metalcore, metalcore, nu metal",Unknown
Caskets,metalcore,62,184409,2XIbOWDT5vZPW7jNyzdfcK,spotify:artist:2XIbOWDT5vZPW7jNyzdfcK,297433.87,1,metalcore,Unknown
The Amity Affliction,metalcore,62,747265,6kNKUYGn6VNGsRoXmyoDPK,spotify:artist:6kNKUYGn6VNGsRoXmyoDPK,1205266.13,3,"australian metalcore, melodic metalcore, metalcore",Unknown
Silverstein,metalcore,60,740779,1Tsag5J854qxeOo2apszug,spotify:artist:1Tsag5J854qxeOo2apszug,1234631.67,8,"canadian post-hardcore, canadian rock, metalcore, neon pop punk, pop emo, pop punk, post-hardcore, screamo",Unknown
Senses Fail,metalcore,57,461624,591yCCsZCLXvaJ0Rg38vLZ,spotify:artist:591yCCsZCLXvaJ0Rg38vLZ,809866.67,6,"emo, metalcore, neon pop punk, pop punk, post-hardcore, screamo",Unknown
Atreyu,metalcore,60,979949,3LkSiHbjqOHCKCqBfEZOTv,spotify:artist:3LkSiHbjqOHCKCqBfEZOTv,1633248.33,6,"alternative metal, melodic metalcore, metalcore, nu metal, post-grunge, screamo",Unknown
Get Scared,metalcore,59,726528,5r9uIJCoquVtEkCkvcn8Ez,spotify:artist:5r9uIJCoquVtEkCkvcn8Ez,1231403.39,1,metalcore,Unknown
Trivium,metalcore,62,1612532,278ZYwGhdK6QTzE3MFePnP,spotify:artist:278ZYwGhdK6QTzE3MFePnP,2600858.06,8,"alternative metal, groove metal, melodic metalcore, melodic thrash, metal, metalcore, nu metal, post-grunge",Unknown
